step,action,reward,pacman_x,pacman_y,food_remaining,done
0,Stop,-1.0,9,1,97,False
1,Stop,-1.0,9,1,97,False
2,Stop,-1.0,9,1,97,False
3,Stop,-1.0,9,1,97,False
4,Stop,-1.0,9,1,97,False
5,Stop,-1.0,9,1,97,False
6,East,9.0,9,1,97,False
7,East,9.0,10,1,96,False
8,East,9.0,11,1,95,False
9,East,9.0,12,1,94,False
10,North,9.0,13,1,93,False
11,North,9.0,13,2,92,False
12,West,9.0,13,3,91,False
13,West,9.0,12,3,90,False
14,West,9.0,11,3,89,False
15,West,9.0,10,3,88,False
16,West,9.0,9,3,87,False
17,West,9.0,8,3,86,False
18,West,9.0,7,3,85,False
19,South,9.0,6,3,84,False
20,South,9.0,6,2,83,False
21,East,9.0,6,1,82,False
22,East,9.0,7,1,81,False
23,West,-1.0,8,1,80,False
24,West,-1.0,7,1,80,False
25,North,-1.0,6,1,80,False
26,North,-1.0,6,2,80,False
27,West,9.0,6,3,80,False
28,West,9.0,5,3,79,False
29,South,9.0,4,3,78,False
30,South,9.0,4,2,77,False
31,West,9.0,4,1,76,False
32,West,9.0,3,1,75,False
33,West,9.0,2,1,74,False
34,North,9.0,1,1,73,False
35,North,9.0,1,2,72,False
36,North,9.0,1,3,71,False
37,North,9.0,1,4,70,False
38,North,9.0,1,5,69,False
39,North,9.0,1,6,68,False
40,North,9.0,1,7,67,False
41,North,49.0,1,8,66,False
42,Stop,-1.0,1,9,66,False
43,East,9.0,1,9,66,False
44,East,9.0,2,9,65,False
45,East,9.0,3,9,64,False
46,South,9.0,4,9,63,False
47,South,9.0,4,8,62,False
48,East,9.0,4,7,61,False
49,East,9.0,5,7,60,False
50,East,9.0,6,7,59,False
51,East,9.0,7,7,58,False
52,East,9.0,8,7,57,False
53,East,9.0,9,7,56,False
54,East,9.0,10,7,55,False
55,East,9.0,11,7,54,False
56,East,9.0,12,7,53,False
57,East,9.0,13,7,52,False
58,East,9.0,14,7,51,False
59,North,209.0,15,7,50,False
60,North,9.0,15,8,49,False
61,East,9.0,15,9,48,False
62,East,9.0,16,9,47,False
63,East,9.0,17,9,46,False
64,South,9.0,18,9,45,False
65,South,9.0,18,8,44,False
66,South,9.0,18,7,43,False
67,South,9.0,18,6,42,False
68,South,9.0,18,5,41,False
69,South,9.0,18,4,40,False
70,South,209.0,18,3,39,False
71,South,49.0,18,2,38,False
72,West,9.0,18,1,38,False
73,West,9.0,17,1,37,False
74,West,9.0,16,1,36,False
75,North,9.0,15,1,35,False
76,North,209.0,15,2,34,False
77,East,9.0,15,3,33,False
78,West,-1.0,16,3,32,False
79,West,9.0,15,3,32,False
80,West,-1.0,14,3,31,False
81,North,9.0,13,3,31,False
82,North,9.0,13,4,30,False
83,North,209.0,13,5,29,False
84,North,-1.0,13,6,28,False
85,East,-1.0,13,7,28,False
86,East,-1.0,14,7,28,False
87,East,9.0,15,7,28,False
88,South,9.0,16,7,27,False
89,South,9.0,16,6,26,False
90,East,9.0,16,5,25,False
91,East,-1.0,17,5,24,False
92,West,-1.0,18,5,24,False
93,West,-1.0,17,5,24,False
94,West,9.0,16,5,24,False
95,East,-1.0,15,5,23,False
96,East,-1.0,16,5,23,False
97,East,-1.0,17,5,23,False
98,South,-1.0,18,5,23,False
99,South,-1.0,18,4,23,False
100,North,-1.0,18,3,23,False
101,North,-1.0,18,4,23,False
102,West,-1.0,18,5,23,False
103,West,-1.0,17,5,23,False
104,South,9.0,16,5,23,False
105,South,-1.0,16,4,22,False
106,North,-1.0,16,3,22,False
107,North,-1.0,16,4,22,False
108,West,-1.0,16,5,22,False
109,West,9.0,15,5,22,False
110,West,-501.0,14,5,21,True
