step,action,reward,pacman_x,pacman_y,food_remaining,done
0,Stop,-1.0,9,1,97,False
1,Stop,-1.0,9,1,97,False
2,Stop,-1.0,9,1,97,False
3,Stop,-1.0,9,1,97,False
4,Stop,-1.0,9,1,97,False
5,East,9.0,9,1,97,False
6,West,-1.0,10,1,96,False
7,West,9.0,9,1,96,False
8,West,9.0,8,1,95,False
9,West,9.0,7,1,94,False
10,North,9.0,6,1,93,False
11,North,9.0,6,2,92,False
12,East,9.0,6,3,91,False
13,East,9.0,7,3,90,False
14,East,9.0,8,3,89,False
15,East,9.0,9,3,88,False
16,East,9.0,10,3,87,False
17,East,9.0,11,3,86,False
18,East,9.0,12,3,85,False
19,South,9.0,13,3,84,False
20,South,9.0,13,2,83,False
21,West,9.0,13,1,82,False
22,West,9.0,12,1,81,False
23,West,-1.0,11,1,80,False
24,East,-1.0,10,1,80,False
25,East,-1.0,11,1,80,False
26,East,-1.0,12,1,80,False
27,North,-1.0,13,1,80,False
28,North,-1.0,13,2,80,False
29,South,-1.0,13,3,80,False
30,South,-1.0,13,2,80,False
31,North,-1.0,13,1,80,False
32,North,-1.0,13,2,80,False
33,East,9.0,13,3,80,False
34,East,9.0,14,3,79,False
35,South,9.0,15,3,78,False
36,South,9.0,15,2,77,False
37,East,9.0,15,1,76,False
38,East,9.0,16,1,75,False
39,East,49.0,17,1,74,False
40,North,9.0,18,1,74,False
41,North,9.0,18,2,73,False
42,North,9.0,18,3,72,False
43,North,9.0,18,4,71,False
44,West,9.0,18,5,70,False
45,West,209.0,17,5,69,False
46,North,9.0,16,5,68,False
47,South,-1.0,16,6,67,False
48,South,9.0,16,5,67,False
49,South,9.0,16,4,66,False
50,West,-1.0,16,3,65,False
51,West,-1.0,15,3,65,False
52,West,-1.0,14,3,65,False
53,North,9.0,13,3,65,False
54,North,9.0,13,4,64,False
55,East,9.0,13,5,63,False
56,East,9.0,14,5,62,False
57,East,-1.0,15,5,61,False
58,North,-1.0,16,5,61,False
59,North,9.0,16,6,61,False
60,West,9.0,16,7,60,False
61,North,9.0,15,7,59,False
62,North,9.0,15,8,58,False
63,East,9.0,15,9,57,False
64,East,9.0,16,9,56,False
65,East,9.0,17,9,55,False
66,South,9.0,18,9,54,False
67,South,9.0,18,8,53,False
68,South,9.0,18,7,52,False
69,South,-1.0,18,6,51,False
70,North,-1.0,18,5,51,False
71,North,-1.0,18,6,51,False
72,North,-1.0,18,7,51,False
73,South,-1.0,18,8,51,False
74,South,-1.0,18,7,51,False
75,South,-1.0,18,6,51,False
76,West,-1.0,18,5,51,False
77,West,-1.0,17,5,51,False
78,West,199.0,16,5,51,False
79,West,-1.0,15,5,51,False
80,West,-1.0,14,5,51,False
81,East,-1.0,13,5,51,False
82,East,-1.0,14,5,51,False
83,East,-1.0,15,5,51,False
84,East,-1.0,16,5,51,False
85,East,-1.0,17,5,51,False
86,Stop,-1.0,18,5,51,False
87,North,-1.0,18,5,51,False
88,North,-1.0,18,6,51,False
89,North,-1.0,18,7,51,False
90,North,-1.0,18,8,51,False
91,West,-1.0,18,9,51,False
92,West,-1.0,17,9,51,False
93,West,-1.0,16,9,51,False
94,South,-1.0,15,9,51,False
95,South,-1.0,15,8,51,False
96,West,9.0,15,7,51,False
97,West,9.0,14,7,50,False
98,West,9.0,13,7,49,False
99,West,9.0,12,7,48,False
100,East,-1.0,11,7,47,False
101,East,-1.0,12,7,47,False
102,North,9.0,13,7,47,False
103,North,9.0,13,8,46,False
104,West,9.0,13,9,45,False
105,West,9.0,12,9,44,False
106,West,9.0,11,9,43,False
107,West,9.0,10,9,42,False
108,West,9.0,9,9,41,False
109,West,9.0,8,9,40,False
110,West,9.0,7,9,39,False
111,South,9.0,6,9,38,False
112,South,9.0,6,8,37,False
113,South,9.0,6,7,36,False
114,South,9.0,6,6,35,False
115,South,9.0,6,5,34,False
116,South,-1.0,6,4,33,False
117,West,9.0,6,3,33,False
118,West,9.0,5,3,32,False
119,West,9.0,4,3,31,False
120,North,9.0,3,3,30,False
121,North,9.0,3,4,29,False
122,West,9.0,3,5,28,False
123,West,9.0,2,5,27,False
124,Stop,-1.0,1,5,26,False
125,North,9.0,1,5,26,False
126,North,9.0,1,6,25,False
127,South,-1.0,1,7,24,False
128,South,-1.0,1,6,24,False
129,South,9.0,1,5,24,False
130,South,9.0,1,4,23,False
131,South,9.0,1,3,22,False
132,South,9.0,1,2,21,False
133,East,9.0,1,1,20,False
134,East,9.0,2,1,19,False
135,East,9.0,3,1,18,False
136,Stop,-1.0,4,1,17,False
137,West,-1.0,4,1,17,False
